"contest_num","nickname","passed_time"
1,lena.antonova,409860
1,lena.antonova,408720
1,lena.antonova,408600
1,lena.antonova,408600
1,lena.antonova,408480
1,lena.antonova,408000
1,lena.antonova,407580
1,maryia,407160
1,lena.antonova,405360
1,lena.antonova,405300
1,lena.antonova,405240
1,lena.antonova,403920
1,lena.antonova,403500
1,lena.antonova,403080
1,lena.antonova,402960
1,d.a.gornostaev,392400
1,d.a.gornostaev,391800
1,d.a.gornostaev,391560
1,d.a.gornostaev,391140
1,d.a.gornostaev,391080
1,anyamb,390960
1,anyamb,390840
1,anyamb,390840
1,anyamb,388260
1,anyamb,387660
1,Ziby1010,386820
1,anyamb,386220
1,d.a.gornostaev,385980
1,d.a.gornostaev,385980
1,Ziby1010,385980
1,d.a.gornostaev,385800
1,d.a.gornostaev,385620
1,anyamb,385380
1,d.a.gornostaev,384780
1,anyamb,384780
1,d.a.gornostaev,384720
1,anyamb,384540
1,d.a.gornostaev,384420
1,d.a.gornostaev,383520
1,anyamb,383460
1,d.a.gornostaev,383220
1,anyamb,382200
1,mat90x,380700
1,d.a.gornostaev,379860
1,d.a.gornostaev,379800
1,robspb,379140
1,robspb,379080
1,d.a.gornostaev,376920
1,Ignatych,376680
1,vl.n.ermakov,376560
1,robspb,375840
1,robspb,375780
1,dertty,375660
1,robspb,375540
1,oleg.osipov,375540
1,robspb,375420
1,robspb,375360
1,Ignatych,375300
1,Ignatych,375240
1,soslan.tabuev,375180
1,azapletin,375120
1,soslan.tabuev,375120
1,robspb,375000
1,robspb,374880
1,robspb,374640
1,azapletin,374640
1,robspb,374640
1,robspb,374580
1,alimantu,374580
1,Ignatych,374520
1,Ignatych,374460
1,VirHos,374400
1,azapletin,374160
1,alimantu,374160
1,VirHos,374160
1,alimantu,373680
1,alimantu,373620
1,vl.n.ermakov,373560
1,VirHos,373380
1,dertty,373200
1,Ignatych,373080
1,JessSmith,373080
1,Ignatych,373020
1,Ignatych,372960
1,Ignatych,372780
1,ilya_milyutin,372780
1,a.m.tsitulskiy,372780
1,Ignatych,372780
1,ilya_milyutin,372720
1,Ignatych,372720
1,Ignatych,372540
1,VirHos,372420
1,a.m.tsitulskiy,372360
1,MargaritaNik,372240
1,vl.n.ermakov,372240
1,Ignatych,372180
1,Unmagian,371940
1,Unmagian,371880
1,dertty,371820
1,MargaritaNik,371820
1,Alexander_Koshelev,371760
1,dertty,371520
1,d.pronin,371460
1,dertty,371400
1,Alexander_Koshelev,371400
1,Alexander_Koshelev,371340
1,dertty,371340
1,Arhimisha,371220
1,soslan.tabuev,371160
1,FarSir,370680
1,FarSir,370620
1,a.m.tsitulskiy,370380
1,MargaritaNik,370320
1,dertty,370260
1,dertty,370260
1,soslan.tabuev,370260
1,Gra37,370200
1,soslan.tabuev,370140
1,matiiv,370080
1,FarSir,370080
1,oleg.osipov,370020
1,Vetik,369960
1,matiiv,369900
1,yunusovev,369900
1,Vetik,369840
1,JessSmith,369780
1,FarSir,369780
1,dertty,369780
1,FarSir,369720
1,oleg.osipov,369660
1,FarSir,369660
1,FarSir,369600
1,FarSir,369600
1,FarSir,369300
1,FarSir,369300
1,Vetik,369240
1,FarSir,369120
1,dertty,369060
1,krtch,368700
1,dertty,368700
1,FarSir,368640
1,JessSmith,368640
1,Ripper_1011,368640
1,FarSir,368640
1,Ripper_1011,368640
1,novokolg,368520
1,Gra37,368400
1,fomin.fyodor,368220
1,krtch,368160
1,fomin.fyodor,367800
1,dertty,367800
1,oleg.osipov,367740
1,yunusovev,367680
1,Vetik,367560
1,gruzenko.e,367440
1,gruzenko.e,367320
1,dertty,367260
1,dertty,367140
1,Vetik,366780
1,Unmagian,366720
